"id","nome","nome_anterior","arquivo_gif","hash_gif","classificacao","possivel_equivalente_source","motivo"
"media_bf8249c0f027460a1902","Crucifixo declinado com halteres","Crucifixo declinado com halteres","gifs/peitoral/Crucifixo declinado com halteres.gif","1e5ca01cb51a28e43120f38bbbceb44a76d345dd05031b765ab7d8ae1f872384","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_c263183525f85610dd12","Agachamento sumô com halteres","Agachamento sumô com halteres","gifs/perna/Alongamento de isquiotibiais sentado.gif","c81efaf240c57b85ebba5f4145bf5773941f6410916dbea77909f77410c05f66","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_c6150befa50c9d8f8236","Elevação frontal com halteres sentado","Elevação frontal com halteres sentado","gifs/ombros/Elevações laterais apoiadas no peito com halteres - Variação 3.gif","b7cba665ace50c301aca2faa3dfd06f742d8e201cd554be46df807624342f436","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_c811fae948c85ad2d17d","Rotação landmine","Rotação landmine","gifs/abdominais/Torção de mina terrestre - Variação 3.gif","7f14f5f1da83825efea6c824800ad721476d7f60b3790292c2a26e4e1bf92126","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_d4d906e8647ff1f4b3ea","Tríceps testa unilateral com halter","Tríceps testa unilateral com halter","gifs/tríceps/Unilateral pronated com halteres extensão de tríceps.gif","e7934f3c6b97373a187674ff7fde6358d13b426b469989bb77a620d633b50ed6","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_d81cfb06437cf98e6e0f","Crucifixo inverso na máquina","","gifs/ombros/Crucifixo traseira da máquina delt.gif","6e755692d5cb3ad3d919fa57af918a8e416ab468d2c462ee388b5297f2f53a0e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_dbf0a1de4254674e5693","Agachamento hack reverso","Agachamento hack reverso","gifs/perna/Agachamento hack reverso.gif","532fd8b4b9dd4402f50bd77600f05b09873fc346da5ef348e2283c73c270a4e2","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_dc261d442df7d3025042","Torção russa","Torção russa","gifs/abdominais/Torção russa.gif","a7a987f0287819726cebb44ceb12cd3d079068be9436a8986fe0fd88ccf945cb","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_df41698b4743784b404a","Flexão de joelhos deitado na máquina","Flexão de joelhos deitado na máquina","gifs/perna/Flexão de perna.gif","4d822e1b0db20c1749eee55d2d9b0a5e98981a41108c0461196ee621e98c6a18","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_e1ebd2bc5e186de43bdb","Tesoura de pernas deitado","Tesoura de pernas deitado","gifs/abdominais/Macacos de prancha com perna estendida.gif","ba5077e88727ff15923a6d9da90a35bb82afe4ea1177c999b3bd8360f90e74f7","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_e263f191fee375377650","Encolhimento de ombros com halteres","Encolhimento de ombros com halteres","gifs/trapézio/Encolher de ombros com halteres.gif","0c65869fe4184370b58bc43b104a71f2e40c7048b372cd8a413262f0cfaaf817","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_e3f4dc43b857f66c3c2b","Elevação frontal com halteres","Elevação frontal com halteres","gifs/ombros/Elevação frontal da placa de peso - Variação 2.gif","ce476a66a297bff4163814c6b34ac235ee469809433a1f44f445309b1f390d7e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_e53f02d62dcd66c5b22c","Remo ergométrico","Remo ergométrico","gifs/costas/Máquina de remo.gif","9f141b148177086aaa3fe4ac0e4c3b624c5b10ecfb9fbdb1006550e2c5a5c9a0","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_e7624d994ae29e4cda16","Supino declinado na máquina","Supino declinado na máquina","gifs/peitoral/Supino declinado na máquina.gif","45b3aecd5813fef32ae8d23a715dd42e0a1867512d6f213d4fe3883ee24cdc2d","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_f0f4901a1ab278ca1c1b","Remada curvada com barra","","gifs/exercícios-de-costas/Barra curvada sobre a remada.gif","be822b5ea7e1ef3dc94bb13603e3e2a0eaa5c52a3dbc4eb55d664d13a995f916","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_f382a374c92d1910752a","Elevação de panturrilhas em pé na máquina","Elevação de panturrilhas em pé na máquina","gifs/panturrilha/Elevação de panturrilhas em pé na máquina.gif","2fc49fade3743743bdd6bf4b9896152389340161cf731425ee4853ceaf88c36f","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_f55f0a96e3259e77c1d6","Tríceps na polia","Tríceps na polia","gifs/tríceps/Band skull crusher.gif","8b21848ba996f682193445467da6870ace7f0c69dd4968ab4c144d07637031d0","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_fdd2e7b062d30afc55b3","Escada ergométrica","Escada ergométrica","gifs/cardio/Simulador de escada.gif","b430f5ee458f8b4d145cf5bc091b19a50aece00505042ecb47b34f63ac0701a2","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
