"id","source_folder","campo","valor_antes","valor_source","valor_depois","status"
"media_0e463aeb4158497e2760","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sapo com bola suíça","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Bola | Academia","Abdômen/Core | Bola | Academia","CORRIGIDO"
"media_cde3619970c8c5aa12cd","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado no banco com joelhos ao peito","tags_secundarias","Academia | Casa","Banco | Academia","Banco | Academia","CORRIGIDO"
"media_cde3619970c8c5aa12cd","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado no banco com joelhos ao peito","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Banco | Academia","Abdômen/Core | Banco | Academia","CORRIGIDO"
"media_90048a1103f0a4684dc6","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal tradicional","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_90048a1103f0a4684dc6","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal tradicional","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_be0a52168e8a76f693c9","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal um quarto","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_be0a52168e8a76f693c9","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal um quarto","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_5e580b9122697884ca0b","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com bola suíça","tags_secundarias","Casa | Academia","Bola | Academia","Bola | Academia","CORRIGIDO"
"media_5e580b9122697884ca0b","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com bola suíça","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Bola | Academia","Abdômen/Core | Bola | Academia","CORRIGIDO"
"media_77369d3e940283d271f4","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com halteres","tags_secundarias","Halteres | Casa | Academia","Halteres | Academia","Halteres | Academia","CORRIGIDO"
"media_77369d3e940283d271f4","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com halteres","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Halteres | Academia","Abdômen/Core | Halteres | Academia","CORRIGIDO"
"media_31024f8c4102dcbeb163","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico","tags_secundarias","Casa | Academia","Elástico | Quadril | Academia","Quadril | Elástico | Academia","CORRIGIDO"
"media_31024f8c4102dcbeb163","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico","tags_compatibilidade","Glúteos","Glúteos | Elástico | Quadril | Academia","Glúteos | Elástico | Quadril | Academia","CORRIGIDO"
"media_64712606087f7ed7e202","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico - variação 2","tags_secundarias","Casa | Academia","Elástico | Quadril | Academia","Quadril | Elástico | Academia","CORRIGIDO"
"media_64712606087f7ed7e202","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico - variação 2","tags_compatibilidade","Glúteos","Glúteos | Elástico | Quadril | Academia","Glúteos | Elástico | Quadril | Academia","CORRIGIDO"
"media_93e74d3d0efd58646aee","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha","tags_secundarias","Casa | Academia","Quadril | Sem aparelhos | Casa","Quadril | Sem aparelhos | Casa","CORRIGIDO"
"media_93e74d3d0efd58646aee","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha","tags_compatibilidade","Glúteos","Glúteos | Quadril | Sem aparelhos | Casa","Glúteos | Quadril | Sem aparelhos | Casa","CORRIGIDO"
"media_708ff7631e6dc8a55607","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha com elástico","tags_secundarias","Casa | Academia","Elástico | Quadril | Academia","Quadril | Elástico | Academia","CORRIGIDO"
"media_708ff7631e6dc8a55607","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha com elástico","tags_compatibilidade","Glúteos","Glúteos | Elástico | Quadril | Academia","Glúteos | Elástico | Quadril | Academia","CORRIGIDO"
"media_3c4b654f94e7660ab52b","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé","tags_secundarias","Banco | Casa | Academia","Quadril | Sem aparelhos | Casa","Quadril | Sem aparelhos | Casa","CORRIGIDO"
"media_3c4b654f94e7660ab52b","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé","tags_compatibilidade","Glúteos","Glúteos | Quadril | Sem aparelhos | Casa","Glúteos | Quadril | Sem aparelhos | Casa","CORRIGIDO"
"media_b262a3787323c079228f","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé na máquina","tags_secundarias","Academia","Máquina | Quadril | Academia","Quadril | Máquina | Academia","CORRIGIDO"
"media_b262a3787323c079228f","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé na máquina","tags_compatibilidade","Glúteos","Glúteos | Máquina | Quadril | Academia","Glúteos | Máquina | Quadril | Academia","CORRIGIDO"
